BLUEPRINT_ID	Group	Sub-group	Sex	Cell type	Disease	URL
MM_94	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/31721/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_94.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_95	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/31730/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_95.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_100	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/32188/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_100.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
MM_101	bone marrow	Multiple Myeloma	Female	neoplastic plasma cell	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/32327/Multiple_Myeloma/RNA-Seq/IDIBAPS/MM_101.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TR8B1	bone marrow	band form neutrophil	Female	band form neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM060814/band_form_neutrophil/RNA-Seq/MPIMG/S00TR8B1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TQAB1	bone marrow	neutrophilic metamyelocyte	Female	neutrophilic metamyelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM060814/neutrophilic_metamyelocyte/RNA-Seq/MPIMG/S00TQAB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TPCB1	bone marrow	neutrophilic myelocyte	Female	neutrophilic myelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM060814/neutrophilic_myelocyte/RNA-Seq/MPIMG/S00TPCB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TS6B1	bone marrow	segmented neutrophil of bone marrow	Female	segmented neutrophil of bone marrow	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM060814/segmented_neutrophil_of_bone_marrow/RNA-Seq/MPIMG/S00TS6B1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TGUB1	bone marrow	band form neutrophil	Male	band form neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM160614/band_form_neutrophil/RNA-Seq/MPIMG/S00TGUB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TFWB1	bone marrow	neutrophilic metamyelocyte	Male	neutrophilic metamyelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM160614/neutrophilic_metamyelocyte/RNA-Seq/MPIMG/S00TFWB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TEYB1	bone marrow	neutrophilic myelocyte	Male	neutrophilic myelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM160614/neutrophilic_myelocyte/RNA-Seq/MPIMG/S00TEYB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00THSB1	bone marrow	segmented neutrophil of bone marrow	Male	segmented neutrophil of bone marrow	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM160614/segmented_neutrophil_of_bone_marrow/RNA-Seq/MPIMG/S00THSB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0161X11	bone marrow	neutrophilic metamyelocyte	Female	neutrophilic metamyelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM23052014/neutrophilic_metamyelocyte/RNA-Seq/MPIMG/S0161X11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00TMIB1	bone marrow	band form neutrophil	Female	band form neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM230614/band_form_neutrophil/RNA-Seq/MPIMG/S00TMIB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TJOB1	bone marrow	neutrophilic myelocyte	Female	neutrophilic myelocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM230614/neutrophilic_myelocyte/RNA-Seq/MPIMG/S00TJOB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00TNGB1	bone marrow	segmented neutrophil of bone marrow	Female	segmented neutrophil of bone marrow	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/BM230614/segmented_neutrophil_of_bone_marrow/RNA-Seq/MPIMG/S00TNGB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S005CN11	bone marrow	Acute Myeloid Leukemia - CTR	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_283/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S005CN11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S005DL11	bone marrow	Acute Myeloid Leukemia - SAHA	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_283/Acute_Myeloid_Leukemia_-_SAHA/RNA-Seq/MPIMG/S005DL11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0050A11	bone marrow	Acute Promyelocytic Leukemia - ATRA	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_284/Acute_Promyelocytic_Leukemia_-_ATRA/RNA-Seq/MPIMG/S0050A11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S004XM11	bone marrow	Acute Promyelocytic Leukemia - CTR	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_284/Acute_Promyelocytic_Leukemia_-_CTR/RNA-Seq/MPIMG/S004XM11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0051811	bone marrow	Acute Promyelocytic Leukemia - MC2392	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_284/Acute_Promyelocytic_Leukemia_-_MC2392/RNA-Seq/MPIMG/S0051811.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S005GF11	bone marrow	Acute Myeloid Leukemia - CTR	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_286/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S005GF11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S008RI11	bone marrow	Acute Promyelocytic Leukemia - ATRA	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_289/Acute_Promyelocytic_Leukemia_-_ATRA/RNA-Seq/MPIMG/S008RI11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S008QK11	bone marrow	Acute Promyelocytic Leukemia - CTR	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_289/Acute_Promyelocytic_Leukemia_-_CTR/RNA-Seq/MPIMG/S008QK11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S008UC11	bone marrow	Acute Promyelocytic Leukemia - MC2884 (24h)	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_289/Acute_Promyelocytic_Leukemia_-_MC2884_24h/RNA-Seq/MPIMG/S008UC11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S008Y411	bone marrow	Acute Promyelocytic Leukemia - MC2884 (4h)	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_289/Acute_Promyelocytic_Leukemia_-_MC2884_4h/RNA-Seq/MPIMG/S008Y411.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S008TE11	bone marrow	Acute Promyelocytic Leukemia - MS-275 (20h)	Female	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_289/Acute_Promyelocytic_Leukemia_-_MS-275_20h/RNA-Seq/MPIMG/S008TE11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S008X611	bone marrow	Acute Myeloid Leukemia - CTR	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_290/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S008X611.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00DFM11	bone marrow	Acute Lymphocytic Leukemia - CTR	Female	lymphocyte of B lineage	Acute Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_294/Acute_Lymphocytic_Leukemia_-_CTR/RNA-Seq/MPIMG/S00DFM11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00FGC11	bone marrow	Acute Myeloid Leukemia - CTR	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_295/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S00FGC11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00KPB11	bone marrow	Acute Myeloid Leukemia - CTR	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_297/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S00KPB11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00SB711	bone marrow	Acute Myeloid Leukemia - CTR	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_300/Acute_Myeloid_Leukemia_-_CTR/RNA-Seq/MPIMG/S00SB711.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GX311	bone marrow	Acute Promyelocytic Leukemia - ATRA	Male	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_302/Acute_Promyelocytic_Leukemia_-_ATRA/RNA-Seq/MPIMG/S01GX311.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GW511	bone marrow	Acute Promyelocytic Leukemia - CTR	Male	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_302/Acute_Promyelocytic_Leukemia_-_CTR/RNA-Seq/MPIMG/S01GW511.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01H0S11	bone marrow	Acute Promyelocytic Leukemia - MC2884	Male	myeloid cell	Acute Promyelocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/pz_302/Acute_Promyelocytic_Leukemia_-_MC2884/RNA-Seq/MPIMG/S01H0S11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00D6311	bone marrow	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00001/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D6311.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00CYP11	bone marrow	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00007/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00CYP11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00D0F11	bone marrow	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00011/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00D0F11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00CXR11	bone marrow	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00012/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00CXR11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S013QW11	bone marrow	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00013/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013QW11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S013M311	bone marrow	Acute Myeloid Leukemia	Male	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00014/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013M311.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S013N111	bone marrow	Acute Myeloid Leukemia	Female	mononuclear cell of bone marrow	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00015/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S013N111.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S005FH11	bone marrow	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00017/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S005FH11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S005EJ11	bone marrow	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00018/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S005EJ11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00XXH11	bone marrow	Acute Myeloid Leukemia	Female	myeloid cell	Acute Myeloid Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00027/Acute_Myeloid_Leukemia/RNA-Seq/MPIMG/S00XXH11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
TALL-1	capillary blood	T-cell Acute Lymphocytic Leukemia	Male	NA	T-cell Acute Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/capillary_blood/Necker_TALL_001/T-cell_Acute_Lymphocytic_Leukemia/RNA-Seq/MPIMG/TALL-1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
BL-2_r01	Cell Line	Sporadic Burkitt lymphoma	NA	NA	Sporadic Burkitt lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/BL-2/Sporadic_Burkitt_lymphoma/RNA-Seq/NCMLS/BL-2_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
DG-75_r01	Cell Line	Sporadic Burkitt lymphoma	NA	NA	Sporadic Burkitt lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/DG-75/Sporadic_Burkitt_lymphoma/RNA-Seq/NCMLS/DG-75_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
JVM-2_r01	Cell Line	Mantle Cell Lymphoma	Female	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/JVM-2/Mantle_Cell_Lymphoma/RNA-Seq/NCMLS/JVM-2_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
KARPAS-422_r01	Cell Line	Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma	NA	NA	Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/KARPAS-422/Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma/RNA-Seq/NCMLS/KARPAS-422_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
SU-DHL-5_r01	Cell Line	Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma	NA	NA	Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/SU-DHL-5/Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma/RNA-Seq/NCMLS/SU-DHL-5_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
U-266_r01	Cell Line	Multiple Myeloma	Male	NA	Multiple Myeloma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/U-266/Multiple_Myeloma/RNA-Seq/NCMLS/U-266_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
Z-138_r01	Cell Line	Mantle Cell Lymphoma	Male	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/Cell_Line/Z-138/Mantle_Cell_Lymphoma/RNA-Seq/NCMLS/Z-138_r01.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
C000WYB3	cord blood	megakaryocyte-erythroid progenitor cell	Unknown	megakaryocyte-erythroid progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C000WY/megakaryocyte-erythroid_progenitor_cell/RNA-Seq/NCMLS_CU/C000WYB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C00184B5	cord blood	mature neutrophil	Male	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C00184/mature_neutrophil/RNA-Seq/MPIMG/C00184B5.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C00192B6	cord blood	mature neutrophil	Female	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C00192/mature_neutrophil/RNA-Seq/MPIMG/C00192B6.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C001KHSR	cord blood	CD14-positive, CD16-negative classical monocyte	Male	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C001KH/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C001KHSR.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C002UUB3	cord blood	common lymphoid progenitor	Male	common lymphoid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C002UU/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C002UUB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C002UUB4	cord blood	granulocyte monocyte progenitor cell	Male	granulocyte monocyte progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C002UU/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C002UUB2	cord blood	hematopoietic multipotent progenitor cell	Male	hematopoietic multipotent progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C002UU/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C002UUB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C002UUB1	cord blood	hematopoietic stem cell	Male	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C002UU/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C002UUB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C004GD12	cord blood	mature neutrophil	Female	mature neutrophil	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C004GD/mature_neutrophil/RNA-Seq/MPIMG/C004GD12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C005MY12	cord blood	CD38-negative naive B cell	Female	CD38-negative naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C005MY/CD38-negative_naive_B_cell/RNA-Seq/MPIMG/C005MY12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C005PS12	cord blood	CD14-positive, CD16-negative classical monocyte	Female	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C005PS/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/C005PS12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0066P12	cord blood	CD8-positive, alpha-beta T cell	Female	CD8-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C0066P/CD8-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/C0066P12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0067N12	cord blood	cytotoxic CD56-dim natural killer cell	Female	cytotoxic CD56-dim natural killer cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C0067N/cytotoxic_CD56-dim_natural_killer_cell/RNA-Seq/MPIMG/C0067N12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C006MUB1	cord blood	erythroblast	Male	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C006MU/erythroblast/RNA-Seq/NCMLS_CU/C006MUB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C006NSB1	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Male	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C006NS/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/NCMLS_CU/C006NSB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C006NSB2	cord blood	erythroblast	Male	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C006NS/erythroblast/RNA-Seq/NCMLS_CU/C006NSB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C006POB1	cord blood	erythroblast	Male	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C006PO/erythroblast/RNA-Seq/NCMLS_CU/C006POB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
